lead_id,business_name,city,to_email,fu_step,send_day,subject,body,word_count
MS-0076,Atlanta MediSpa,Atlanta,info@atlantamedispa.com,FU1,3,"Re: The silent gap after every treatment at Atlanta MediSpa","Bumping this up. The 20–30% LTV gap after every treatment is a fast fix — happy to send a 90-second Loom of MedSpa Growth Engine running before we find a time.

Bibek Bhandari
vibekb.1234@gmail.com",32
MS-0076,Atlanta MediSpa,Atlanta,info@atlantamedispa.com,FU2,7,"Atlanta MediSpa — 90-day data from a comparable clinic","Different angle —

Pulled numbers from a clinic similar to Atlanta MediSpa after 90 days on MedSpa Growth Engine: no-show rate dropped from 32% to 11%, review-request click-thru hit 47%, and referral asks generated 3–4 new bookings/month with zero extra staff time.

15 min to see it live, or I'll send a 3-min Loom.

Bibek Bhandari
vibekb.1234@gmail.com",62
MS-0078,The AgeLess Center,Atlanta,info@theagelesscenter.com,FU1,3,"Re: What The AgeLess Center's no-shows are actually costing","Still thinking about the no-show math. Happy to send a 90-second Loom of the reminder cycle running so you can see it before committing to 15 minutes.

Bibek Bhandari
vibekb.1234@gmail.com",33
MS-0078,The AgeLess Center,Atlanta,info@theagelesscenter.com,FU2,7,"The AgeLess Center — what 90 days of automation actually looks like","Numbers from a comparable clinic running MedSpa Growth Engine for 90 days: no-show rate fell from 32% to 11%, review-request click-thru hit 47%, and VIP retention produced a 22% lift in 6-month return rate.

No extra staff. Two manager clicks a day.

Worth 15 minutes? Or send you a Loom first.

Bibek Bhandari
vibekb.1234@gmail.com",63
MS-0079,Conqr Aesthetics Wellness,Atlanta,info@conqraesthetics.com,FU1,3,"Re: Conqr Aesthetics — the revenue that disappears after close","Quick bump. The post-treatment loop I described takes two clicks a day to run — happy to send a 90-second Loom before any meeting.

Bibek Bhandari
vibekb.1234@gmail.com",30
MS-0079,Conqr Aesthetics Wellness,Atlanta,info@conqraesthetics.com,FU2,7,"Conqr Aesthetics — results from a clinic that automated the post-treatment loop","Concrete data from a clinic 90 days in: no-show rate cut from 32% to 11%, referral asks generated 3–4 new bookings/month, and Workflow #2's reminder cycle reduced inbox load 80%.

Conqr's volume makes the ROI immediate. 15 min, or a 3-min Loom if that's easier.

Bibek Bhandari
vibekb.1234@gmail.com",60
MS-0101,Rejuvenate Austin,Austin,hello@rejuvenateaustin.com,FU1,3,"Re: Rejuvenate Austin — what's the plan after treatment day?","Bumping this. The automated review + referral sequence I mentioned is the easiest win in the stack — happy to send a 90-second Loom if you want to see it before we talk.

Bibek Bhandari
vibekb.1234@gmail.com",35
MS-0101,Rejuvenate Austin,Austin,hello@rejuvenateaustin.com,FU2,7,"Rejuvenate Austin — real numbers from 90 days of running this","Different lens —

A comparable clinic ran MedSpa Growth Engine for 90 days: review-request click-thru hit 47%, no-shows dropped from 32% to 11%, and the VIP retention layer produced a 22% lift in 6-month return rate.

Rejuvenate Austin's post-treatment window is the fastest place to see those numbers. 15 min?

Bibek Bhandari
vibekb.1234@gmail.com",68
MS-0102,Innate Beauty,Austin,info@innatebeauty.com,FU1,3,"Re: Innate Beauty — the no-show math doesn't lie","Still on the table. The reminder cycle alone is worth the 15 minutes — or I can send a 90-second Loom so you can see it running first.

Bibek Bhandari
vibekb.1234@gmail.com",30
MS-0102,Innate Beauty,Austin,info@innatebeauty.com,FU2,7,"Innate Beauty — what the data looks like after 90 days","Pulling from a comparable clinic: no-show rate went from 32% to 11%, referral asks added 3–4 bookings/month, and the VIP retention layer drove a 22% lift in 6-month client return rate.

Innate Beauty's relationship-first approach is exactly where these numbers compound. 15 min to walk through it live?

Bibek Bhandari
vibekb.1234@gmail.com",65
MS-0103,Maui MedSpa,Austin,manager@mauimedspa.com,FU1,3,"Re: Maui MedSpa Austin — automating the follow-up gap","Bumping this. Two manager clicks a day covering the full pipeline — happy to do a 90-second Loom before we schedule anything.

Bibek Bhandari
vibekb.1234@gmail.com",28
MS-0103,Maui MedSpa,Austin,manager@mauimedspa.com,FU2,7,"Maui MedSpa — 90-day benchmark data from a comparable clinic","Fresh angle —

A clinic at similar volume ran MedSpa Growth Engine for 90 days: no-shows fell from 32% to 11%, review click-thru hit 47%, and Workflow #2's reminder cycle cut inbox load 80% — manager time went elsewhere.

15 min, or a 3-min Loom first?

Bibek Bhandari
vibekb.1234@gmail.com",61
MS-0104,Austin Med Spa,Austin,suzette@austinmedspa.com,FU1,3,"Re: Suzette — the clients who never came back to Austin Med Spa","Suzette — bumping this up. The re-engagement sequence I described runs automatically once it's live. Happy to send a 90-second Loom before we find time to connect.

Bibek Bhandari
vibekb.1234@gmail.com",32
MS-0104,Austin Med Spa,Austin,suzette@austinmedspa.com,FU2,7,"Suzette — what happened at a similar clinic after 90 days","Numbers from a comparable volume clinic: no-show rate dropped from 32% to 11%, referral asks generated 3–4 new bookings/month, and VIP retention produced a 22% lift in 6-month return rate.

Austin Med Spa has the client base to see those same numbers fast. 15 min if you want to see it live.

Bibek Bhandari
vibekb.1234@gmail.com",65
MS-0125,Glowlight Med Spa,Bellevue,contacts@glowlightmedspa.com,FU1,3,"Re: Glowlight Med Spa — the revenue hiding in post-treatment silence","Quick bump. The 72-hour post-treatment window I described is the highest-leverage piece — happy to send a 90-second Loom before any meeting.

Bibek Bhandari
vibekb.1234@gmail.com",31
MS-0125,Glowlight Med Spa,Bellevue,contacts@glowlightmedspa.com,FU2,7,"Glowlight Med Spa — 90-day results from a Bellevue-caliber clinic","For context on what this actually produces —

A comparable premium clinic 90 days in: no-show rate dropped from 32% to 11%, review-request click-thru hit 47%, referral asks generated 3–4 new bookings/month with no added headcount.

Glowlight's client profile makes the referral channel especially strong. 15 min to see it live?

Bibek Bhandari
vibekb.1234@gmail.com",70
MS-0126,AMARA Medical Aesthetics,Bellevue,info@amaraaestheticsbellevue.com,FU1,3,"Re: AMARA Bellevue — what happens after a client leaves?","Still worth 15 minutes. The clinical-grade analogy holds for operations too — happy to send a 90-second Loom of the system running before we connect.

Bibek Bhandari
vibekb.1234@gmail.com",30
MS-0126,AMARA Medical Aesthetics,Bellevue,info@amaraaestheticsbellevue.com,FU2,7,"AMARA Bellevue — benchmark numbers from a comparable clinic","Data from a clinical-grade aesthetics practice running MedSpa Growth Engine for 90 days: no-shows dropped from 32% to 11%, review-request click-thru hit 47%, and VIP retention drove a 22% lift in 6-month return rate.

AMARA's existing client trust makes retention the fastest ROI. 15 minutes?

Bibek Bhandari
vibekb.1234@gmail.com",64
MS-0127,Muse Medspa,Bellevue,jiangwenting253@gmail.com,FU1,3,"Re: Muse Medspa — the client lifetime value problem","Bumping this. The LTV gap compounds quietly — happy to send a 90-second Loom of the retention layer running before we find a time.

Bibek Bhandari
vibekb.1234@gmail.com",28
MS-0127,Muse Medspa,Bellevue,jiangwenting253@gmail.com,FU2,7,"Muse Medspa — what 90 days of automation did for a comparable clinic","Different framing —

A comparable clinic after 90 days: no-shows down from 32% to 11%, referral asks generated 3–4 new bookings/month, VIP retention produced a 22% lift in 6-month return rate. Inquiry-to-booking automation ran in the background the whole time.

Building a Bellevue client base is hard. Losing them to silence is preventable. 15 min?

Bibek Bhandari
vibekb.1234@gmail.com",74
MS-0130,Flawless Medispa,Bellevue,LMaragh551@gmail.com,FU1,3,"Re: Flawless Medispa — what the no-show rate is hiding","Quick bump — the reminder cycle alone usually pays for itself in month one. Happy to send a 90-second Loom so you can see it running before we talk.

Bibek Bhandari
vibekb.1234@gmail.com",31
MS-0130,Flawless Medispa,Bellevue,LMaragh551@gmail.com,FU2,7,"Flawless Medispa — the numbers behind the no-show fix","Concrete results from a clinic running this for 90 days: no-show rate dropped from 32% to 11%, review-request click-thru hit 47%, and Workflow #2's reminder cycle cut inbox load 80%.

That's the operational gap between good and flawless. 15 min to walk through it live?

Bibek Bhandari
vibekb.1234@gmail.com",59
MS-0005,Beverly Hills Botox Consultants,Beverly Hills,contact@bhderm.com,FU1,3,"Re: Beverly Hills Botox Consultants — the post-treatment revenue gap","Bumping this. At the Beverly Hills price point the LTV math moves fast — happy to send a 90-second Loom of the retention loop running before we find time.

Bibek Bhandari
vibekb.1234@gmail.com",33
