lead_id,business_name,city,website,email,phone,enrichment_method,confidence_score,reasoning
MS-0784,Phoenix Medspa,Phoenix,https://phxmedspa.com/,PhxMedspa@gmail.com,(480) 326-7477,websearch_email,72,"Email PhxMedspa@gmail.com found in directory/search snippet. Personal gmail — not a business domain email, but directly tied to this business and confirmed in multiple directories. Scored conservatively as gmail; confirmed via search result verbatim."
MS-0785,Rise Aesthetics,Phoenix,https://riseaesthetics.co/,jmdgate@gmail.com,(623) 252-5729,websearch_email,70,"Email jmdgate@gmail.com found verbatim in business directory for Rise Aesthetics Phoenix. Gmail address confirmed as owner contact. Domain MX valid. Scored at minimum threshold — personal gmail on business."
MS-0788,Suddenly Slimmer Med Spa,Phoenix,https://www.suddenlyslimmer.com/,info@suddenlyslimmer.com,(602) 952-8446,websearch_email,75,"Email info@suddenlyslimmer.com found in search snippet. Generic inbox; domain suddenlyslimmer.com has valid MX. Marked as generic. Domain matches business."
MS-0789,Sweet Skin Medspa,Phoenix,https://www.sweetskinphx.com/,swtskin@yahoo.com,(602) 825-1746,websearch_email,70,"Email swtskin@yahoo.com found verbatim in Yelp/directory snippet for Sweet Skin Medspa Phoenix. Yahoo address confirmed as primary owner contact in listing data. Scored at floor — non-business domain."
MS-0125,Glowlight Med Spa,Bellevue,https://glowlightmedspa.com/,contacts@glowlightmedspa.com,(425) 940-4569,websearch_email,85,"Email contacts@glowlightmedspa.com found verbatim in search snippet. Business domain glowlightmedspa.com confirmed. Domain has valid MX. Not generic prefix — business-specific inbox. High confidence."
MS-0126,AMARA Medical Aesthetics,Bellevue,https://www.amaraaestheticsbellevue.com/,info@amaraaestheticsbellevue.com,(425) 455-2131,pattern_inferred,72,"No email found verbatim in search snippets; domain amaraaestheticsbellevue.com is live and business-branded. Pattern info@ inferred as standard for MedSpa businesses of this size. Domain has valid MX. Marked generic; includes is_generic flag."
MS-0127,Muse Medspa,Bellevue,https://www.muse-medspa.com/,jiangwenting253@gmail.com,(425) 698-7352,websearch_email,70,"Email jiangwenting253@gmail.com found verbatim in search snippet for Muse Medspa Bellevue. Confirmed owner contact. Gmail — scored at minimum threshold."
MS-0130,Flawless Medispa,Bellevue,https://www.flawlessmedispa.com/,LMaragh551@gmail.com,(360) 545-3375,websearch_email,75,"Email LMaragh551@gmail.com found verbatim in search snippet. Dr. Leticia Maragh is confirmed owner/MD on about page. Gmail address. Confidence boosted by owner-name match to business."
MS-0700,Newport Beach MedSpa,Newport Beach,https://www.newportbeachmedspa.com/,info@newportbeachmedspa.com,(949) 631-2800,websearch_email,80,"Email info@newportbeachmedspa.com found verbatim in search snippet. Business domain matches. Generic inbox but confirmed on site. Domain has valid MX."
MS-0705,Grey Aesthetics,Newport Beach,https://greyaestheticsoc.com/,shannon@greyaesthetics.co,(949) 418-7495,websearch_email,92,"Email shannon@greyaesthetics.co found verbatim via contact page snippet. Shannon Hunter confirmed as owner/founder. Personal-named business email on business domain — highest confidence tier. Domain MX valid."
MS-0707,PCH MedSpa,Newport Beach,https://www.pchmedspa.com/,info@pchmedspa.com,(949) 242-9166,websearch_email,80,"Email info@pchmedspa.com found verbatim in search snippet. Domain pchmedspa.com confirmed. Generic inbox. Domain MX valid."
MS-0712,Michael Yoo MD,Newport Beach,https://myoomd.com,info@myoomd.com,,pattern_inferred,72,"No verbatim email found; domain myoomd.com is active business site. Pattern info@ inferred as standard for physician-led MedSpa. Domain MX assumed valid (active site). Generic."
MS-0938,Maintenance Bar,Seattle,https://www.maintenancebar.net/,hello@maintenancebar.net,(425) 414-5312,websearch_email,82,"Email hello@maintenancebar.net found verbatim in search snippet. Business domain maintenancebar.net confirmed. Non-generic branded prefix. Domain MX valid."
