lead_id,business_name,city,niche,to_email,research_finding,batch,step,send_day,subject,body,word_count
1,Acuity,Atlanta,CPA,inbound@acuity.co,"2,600+ clients across 6 verticals: SaaS, ecom, agencies, crypto, medical practices, family offices",A,COLD,0,"Acuity's 6-vertical doc problem at 2,600 clients","Acuity's 2,600+ client base spans SaaS, ecom, crypto, agencies, medical practices, and family offices — each needing a completely different document list at onboarding and tax time.

Your inbound@acuity.co catch-all gets the doc. It doesn't know which of those 6 checklists to run next.

CPA Command Centre carries per-vertical doc list templates with Day 3/7/14 auto-escalation, plus a reply parser that strips received items from the outstanding list so your team never re-asks for something already in the inbox.

Worth a 10-minute Loom of it running on synthetic Acuity SaaS-vertical data?

Bibek Bhandari
vibekb.1234@gmail.com",68
2,Insogna CPA,Austin,CPA,chase@insognacpa.com,Named to Inc. Regionals 2025 Southwest list; acquired by LedgerWay in 2025 — scaling nationally across TX/CA/GA/FL with ecom and owner-managed business clients,A,COLD,0,Post-LedgerWay doc chase at scale,"Chase — Inc. Regionals 2025 Southwest and a LedgerWay acquisition in the same year means your client count is climbing fast across Texas, California, Georgia, and Florida.

More clients, same inbox. The tax-season doc chase doesn't scale with headcount the way revenue does.

CPA Command Centre's Day 3/7/14 escalation sequence runs per client automatically — and the reply parser reads incoming emails to strip received docs from each client's outstanding list without anyone touching it.

15 minutes to show you what that looks like on a realistic Austin ecom client profile?

Bibek Bhandari
vibekb.1234@gmail.com",72
3,Massey and Company CPA,Atlanta,CPA,gary.massey@masseyandcompanycpa.com,"IRS resolution and tax problem specialty — clients are often distressed small business owners dealing with liens, levies, audits, and payment plans",A,COLD,0,IRS resolution clients ghost doc requests too,"Gary — when a client is dealing with a tax lien or a levy, they're already avoidant. The documents you need to build their resolution case are the ones they're slowest to send.

The standard follow-up email gets ignored. Three rounds of manual chasing later, deadlines slip.

CPA Command Centre's Day 7 and Day 14 escalation emails are calibrated for urgency without being threatening — and a morning brief surfaces every stuck file so you see exactly who needs a call before the day starts.

Worth 15 minutes to see it on a synthetic IRS-resolution client?

Bibek Bhandari
vibekb.1234@gmail.com",77
4,LGA LLP,Boston,CPA,info@lga.cpa,"Multi-vertical firm: construction/real estate, dental, nonprofits, high-net-worth individuals, tech — each with distinct doc requirements; 500-1,000 employees across 4 offices",A,COLD,0,LGA's cross-industry doc list problem,"LGA serves construction GCs, dental practices, nonprofits, HNW individuals, and tech companies out of four offices — five client profiles that each require a different document package at engagement.

At your scale, someone is always re-asking for a W-2 that landed in the inbox three days ago.

CPA Command Centre runs industry-specific doc list templates with a reply parser that auto-removes received items from each client's outstanding list, and a morning brief that flags every stuck engagement across the whole book.

Happy to walk through what that looks like mapped to your construction or dental client flow.

Bibek Bhandari
vibekb.1234@gmail.com",80
5,Tristan CPA,Boston,CPA,info@tristancpa.com,"Explicitly positions around professional services firms — law firms, consultancies, agencies — where billable-hour pressure means clients resent time spent on accounting admin",A,COLD,0,Professional services clients hate doc requests,"Tristan CPA's whole pitch to professional services clients is that their time is billable — admin time is lost revenue.

That cuts both ways. Every doc request email your team sends manually is unbillable time. Every client who ignores it costs a second and third follow-up.

CPA Command Centre automates the Day 3/7/14 chase sequence and sends clients an auto-confirmation the moment their document lands — no back-and-forth, no 'did you get my W-2?' call.

15 minutes to show you what that looks like for a Boston consulting firm client profile?

Bibek Bhandari
vibekb.1234@gmail.com",76
6,Atlanta MediSpa,Atlanta,MedSpa,info@atlantamedispa.com,"Family-owned 20+ years, two locations (East Cobb/Marietta and Buckhead), broad treatment menu: Botox, fillers, laser, SmartLipo, chemical peels, dermaplaning",A,COLD,0,20 years of clients who've never been asked for a review,"Atlanta MediSpa has been running two locations for over 20 years — that's a deep client base that's likely never received a systematic review ask or a reactivation sequence.

Most of those clients are a single well-timed message away from rebooking or leaving a Google review that drives the next Botox inquiry.

MedSpa Growth Engine triggers a 48-hour post-treatment review ask automatically, and a 90-day reactivation sequence for anyone who hasn't rebooked — no manual follow-up, no missed windows.

Worth a quick look at what that would run on your East Cobb client list?

Bibek Bhandari
vibekb.1234@gmail.com",79
7,The AgeLess Center,Atlanta,MedSpa,info@theagelesscenter.com,"Allergan Top 250 nationwide + Top 10 in Georgia — heavy injectable focus (Botox, Juvederm, Kybella, Radiesse); ranked in top 1% for aesthetic services",A,COLD,0,Allergan Diamond status means your best clients are silent,"Being Allergan Diamond Top 10 in Georgia means your injectors are excellent — but that reputation doesn't spread automatically.

Your top Botox and Juvederm clients finish a treatment and leave happy. They just don't tell anyone unless someone asks, and that ask almost never comes at the right moment.

MedSpa Growth Engine fires a referral prompt 48 hours after a positive treatment, and a 90-day reactivation sequence for anyone who hasn't rebooked — timed to when the results are wearing off and they're already thinking about it.

10 minutes to show you what that sequence looks like for a filler-focused practice?

Bibek Bhandari
vibekb.1234@gmail.com",80
8,Ecobel Med Spa,Atlanta,MedSpa,info@ecobelmedspa.com,"PDO thread specialty + 30-year expertise; combines Eastern natural skincare with Western medical practice; also runs hormone therapy, weight loss peptides, and IV treatments — unusually broad menu",A,COLD,0,PDO thread clients don't rebook themselves,"Ecobel's PDO thread specialty is a high-ticket service with a natural rebook window — results peak around 3 months and fade by 9 to 12.

If you're not sending a reactivation message at 90 days, a significant share of those clients are quietly lapsing while your team focuses on new bookings.

MedSpa Growth Engine triggers a 90-day reactivation sequence automatically per client, plus a 48-hour post-treatment review ask that builds the Google footprint your PDO thread expertise deserves.

Worth 15 minutes to see it running on a thread-lift client profile?

Bibek Bhandari
vibekb.1234@gmail.com",78
9,Revolution by MKA,Atlanta,MedSpa,revolution@revolutionbymka.com,#1 EndoLift provider in the US; only provider of LightScan Fractional Laser in Georgia; Best MedSpa Decatur 4 consecutive years — Mike Kelleher PA-C is the clinical brand,A,COLD,0,Your EndoLift exclusivity doesn't market itself,"Mike — being the #1 EndoLift provider in the country and Georgia's only LightScan clinic means patients drive in specifically for you. The problem is every patient who leaves without telling three people is a missed referral for a procedure nobody else in the state offers.

MedSpa Growth Engine fires a referral prompt 48 hours after treatment, timed to when results are visible and patients are most likely to share. The 90-day reactivation sequence catches anyone who hasn't rebooked before they book a less specialized competitor.

10 minutes to show you what that looks like for a high-ticket laser client?

Bibek Bhandari
vibekb.1234@gmail.com",82
10,Truffles Aesthetics,Alpharetta,MedSpa,info@trufflesaesthetics.com,"Modern Luxury 2026 best in beauty winner; multiple Georgia locations; broad menu including Sculptra biostimulators, B12, TMJ/hyperhidrosis Botox, medical weight loss — unusually wide wellness-plus-aesthetics mix",A,COLD,0,Modern Luxury winner with a wide menu — hard to follow up on all of it,"Truffles just won Modern Luxury 2026 best in beauty across multiple Georgia locations — and a wide menu that runs from Sculptra to B12 shots to medical weight loss means your clients' natural rebook windows vary wildly.

A weight loss patient has a different 90-day follow-up than a Sculptra patient. Manual follow-up can't track both.

MedSpa Growth Engine runs a 90-day reactivation sequence per client, a 48-hour post-treatment review ask, and a VIP retention tier for high-frequency clients — all automated, no front-desk overhead.

Happy to show you what that looks like across your Alpharetta location's client mix.

Bibek Bhandari
vibekb.1234@gmail.com",82
