lead_id,business_name,owner_name,title,email,phone,website,city,state_province,country,specialty,tier,source_wave,niche,notes
LANEB-MS-W104-001,Concierge Aesthetics,Stacy Vencill,PA-C Founder,info@conciergeaesthetics.com,(949) 767-0000,https://www.conciergeaesthetics.com,Irvine,CA,USA,injectables|laser|facial-aesthetics|wellness,A,W104-LaneB,MedSpa,"Boutique concierge model; 15+ yrs; 517 5-star reviews; Botox/fillers/Morpheus8/IV/weight loss; owner-injector"
LANEB-MS-W104-002,Ketamine Wellness Clinic of South Florida,Khali & Sonia,Co-Founders,contact@ketamineclinicsouthflorida.com,(954) 320-4944,https://ketamineclinicsouthflorida.com,Pompano Beach,FL,USA,ketamine|IV-therapy|wellness|weight-loss|anti-aging,A,W104-LaneB,MedSpa,"Bilingual (hablamos español); ketamine+aesthetics+HRT+NAD+weight loss; independent owner-operated since 2020"
LANEB-MS-W104-003,Carly Pearce Aesthetics,Carly Pearce,RN Nurse Prescriber / Owner,info@carlypearce.co.uk,+44(0)7779 575 072,https://carlypearce.co.uk,Littlehampton,West Sussex,UK,injectables|facial-aesthetics|skin|anti-aging,A,W104-LaneB,MedSpa,"Award-winning nurse prescriber 2025; Profhilo specialist; solo boutique clinic; Edwardian building private practice"
LANEB-MS-W104-004,RVA Regenerative Wellness,Jennylle Zanzi,FNP-C CEO/Owner,,786-224-6878,https://www.rvaregenwellness.com,Midlothian,VA,USA,regenerative|vampire-facial|IV-therapy|hormones|hair-restoration,A,W104-LaneB,MedSpa,"FNP owner; PRP/vampire facelift/IV therapy/bioidentical hormones/weight loss; independent solo practice inside Mint Spa"
LANEB-MS-W104-005,Vida Aesthetics,Lali Rodriguez,RN BSN / Founder,info@vidaaestheticsmadison.com,(608) 720-4011,https://vidaaestheticsmadison.com,Madison (Verona),WI,USA,injectables|laser|facial-aesthetics|skin,A,W104-LaneB,MedSpa,"First Latina medspa Dane County; bilingual; Botox/fillers/BBL/Moxi laser; highest-rated Madison medspa; growing team"
LANEB-MS-W104-006,Bad Ink Laser Clinic,,Owner,info@badinkclinic.com,,https://www.badinkclinic.com,Falls Church / Alexandria,VA,USA,laser,A,W104-LaneB,MedSpa,"Boutique laser tattoo removal specialist; Candela PicoWay; 2 VA locations; military/first responder discounts; indie owner"
LANEB-MS-W104-007,Longevity Medical Spa,,Owner,lmsmedspa@verizon.net,(410) 290-0012,https://www.lmsmedspa.com,Columbia,MD,USA,longevity|anti-aging|wellness,A,W104-LaneB,MedSpa,"Independent longevity/anti-aging medspa Columbia MD; direct email confirmed"
LANEB-MS-W104-008,Absolute Med Spa,,Owner,info@absolutemedspa.com,(940) 286-3001,https://absolutemspa.com,Aubrey,TX,USA,skin|anti-aging|facial-aesthetics,A,W104-LaneB,MedSpa,"Morpheus8/RF tightening specialist; independent medspa N Texas suburban market"
LANEB-MS-W104-009,Thrive Med Spa,,Owner,info@thrivemedspa.org,(908) 895-5680,https://thrivemedspa.org,Basking Ridge,NJ,USA,injectables|laser|body-contouring|weight-loss|skin,A,W104-LaneB,MedSpa,"GLP-1/semaglutide + Morpheus8 + Emsculpt NEO + Botox; independent medspa NJ suburbs; active social following"
LANEB-MS-W104-010,Simply You Med Spa,,Owner,,(229) 883-8080,https://simplyyoumedspa.com,Albany,GA,USA,injectables|laser|skin|weight-loss|facial-aesthetics,A,W104-LaneB,MedSpa,"Voted Albany #1 day spa; multi-service: Botox/fillers/laser/tattoo removal/medical weight loss; fallback metro GA"
LANEB-MS-W104-011,Sapphire Medical Aesthetics,Emma Tonry-Webb,Aesthetic Nurse Practitioner / Owner,enquiries@sapphiremedicalaesthetics.co.uk,01432 870717,https://sapphiremedicalaesthetics.co.uk,Hereford,Herefordshire,UK,injectables|facial-aesthetics|anti-aging|skin,A,W104-LaneB,MedSpa,"Licensed & accredited NP owner; independent rural UK clinic; Hereford fallback metro; boutique practice"
LANEB-MS-W104-012,Eos Aesthetics,Alexandra Abangan,MD / Founder,eosaestheticsnc@gmail.com,(704) 360-5996,https://eosaestheticsnc.com,Mooresville,NC,USA,injectables|facial-aesthetics|skin,A,W104-LaneB,MedSpa,"Unique MOBILE luxury medspa (Rejuvenation Vehicle); ER physician-owner; Lake Norman NC area; thread lifts + Botox + fillers"
LANEB-MS-W104-013,Fiamo Aesthetics,Nawo K. Fiamo,ARNP / Owner,fiamoaesthetics@gmail.com,(509) 571-1361,https://fiamoaesthetics.com,Yakima,WA,USA,injectables|laser|hormones|IV-therapy|weight-loss|body-contouring,A,W104-LaneB,MedSpa,"ARNP owner; only Yakima clinic w/ laser liposuction; ethnic skin specialty; HRT + IV therapy + PRP + weight loss"
