lead_id,business_name,city,website,email,phone,enrichment_method,confidence_score
MS-0664,Naples Facial Botox Med Spa,Naples,https://naplesfacialbotoxmedspa.com/,,,no_email_found,0
MS-0678,The Drip Doc,New York,https://dripdocwellness.com,,,no_email_found,0
MS-0689,Luxury Hair Suites,New York,https://luxuryhairsuites.com,hello@luxuryhairsuites.com,(718) 880-4321,websearch_snippet,75
MS-0690,NeoGraft Hair Transplant NY,New York,https://neografthairtransplantny.com,,,no_email_found,0
MS-0691,Nova Hair Transplant,New York,https://novahairtransplantnyc.com,,,no_email_found,0
MS-0693,Dr. Senderoff Hair Transplant,New York,https://drsenderoff.com,info@drsenderoff.com,(212) 481-3939,websearch_snippet,80
MS-0715,MD Beauty Boston,Newton,https://www.mdbeautyboston.com/,,(617) 930-4117,no_email_found,0
MS-0730,Vivaderm Medical Aesthetics,Oakville,https://www.vivaderm.ca/,info@vivaderm.ca,,pattern_inferred_domain,65
MS-1243,Omaha Face & Body Medical Spa,Omaha,https://www.omahaface.com,info@omahaface.com,,pattern_inferred_domain,65
MS-0824,SkinLab RI,Providence,https://www.skinlabri.com/,info@skinlabri.com,,pattern_inferred_domain,65
MS-1273,Skin Deep Med Spa Providence,Providence,https://www.skindeepmedspa.com,info@skindeepmedspa.com,(440) 268-6100,websearch_snippet,70
MS-0935,Tirzepatide Clinic,Scottsdale,https://tirzepatide.clinic,info@tirzepatide.clinic,(602) 492-9919,pattern_inferred_domain,65
MS-1267,The Beautyful Secret Medical Spa,Shreveport,https://thebeautyfulsecret.com,Confidence@thebeautyfulsecret.com,(318) 670-7813,websearch_direct,90
MS-1268,Fixx Medical Spa,Shreveport,https://fixxmedicalspa.com,info@fixxmedicalspa.com,(318) 990-1092,websearch_snippet,80
MS-0945,The LAB Spokane,Spokane,https://www.thelabaw.com,info@thelabaw.com,(509) 255-3840,websearch_snippet,80
MS-0946,Crafted Beauty Med Spa,Spokane,https://craftedbeauty.com,info@craftedbeautyspokane.com,509.443.3594,websearch_snippet,80
MS-0947,Rejuvenate Rx Spokane,Spokane,https://www.rejuvenate-rx.com,info@rejuvenate-rx.com,(509) 290-6149,pattern_inferred_domain,65
MS-0948,Werschler Aesthetics,Spokane,https://www.werschleraesthetics.com,info@spokanederm.com,(509) 344-3223,websearch_snippet,80
MS-0949,Bloom by Zelda,Spokane,https://bloombyzelda.com,info@bloombyzelda.com,(509) 990-3054,websearch_snippet,80
MS-0950,Spokane Valley Medical Aesthetics,Spokane,https://valleymedicalaesthetics.com,info@valleymedicalaesthetics.com,(509) 590-3982,pattern_inferred_domain,65
MS-0951,Sarah Hamilton FACE,Spokane,https://www.sarahhamiltonface.com,info@sarahhamiltonface.com,(509) 210-0228,websearch_snippet,80
MS-0953,MedAesthetic NL,St. John's,https://www.medaestheticnl.com/,medaestheticnl@hotmail.com,709.726.0467,websearch_snippet,80
MS-0955,The Saint Louis Med Spa,St. Louis,https://thesaintlouismedspa.com/,Contact@STLMedSpa.com,(557) 220-9575,websearch_snippet,80
MS-0956,Modern Med STL,St. Louis,https://www.modernmedstl.com/,modernmedstl@gmail.com,314-394-0204,websearch_snippet,75
MS-0957,Metro Medspa,St. Louis,https://www.metromedspa.com/,info@metromedspa.com,(314) 842-5600,websearch_snippet,80
MS-0958,St. Louis Skin Solutions,St. Louis,https://stlouisskin.com/,info@stlouisskin.com,(314) 485-7845,pattern_inferred_domain,65
MS-0959,Aesthetically Pleasing Medspa,St. Louis,https://www.apstlmedspa.com/,info@apstlmedspa.com,,pattern_inferred_domain,65
MS-0960,Avani Derm Spa,St. Louis,https://www.avanidermspa.com/,spa@nayak.net,(314) 991-5438,websearch_snippet,80
MS-0961,Ladue Medical Spa,St. Louis,https://www.laduemedspa.com/,info@laduemedspa.com,314 705-3539,websearch_snippet,80
MS-0962,MarElyse MediSpa,St. Louis,https://www.marelyse.com/,info@marelyse.com,314-571-6062,pattern_inferred_domain,65
