lead_id,business_name,city,state_province,country,email,phone,website,instagram,owner_name,services,staff_size_est,tier,specialty_tags,source_wave,notes
LANEB-MS-W103-001,The Aesthetic Firm,Bozeman,MT,USA,office@theaestheticfirm.com,(406) 624-2300,https://www.theaestheticfirm.com,@the.aesthetic.firm,"Heather & Vanessa (owners)",injectables/fillers/BBL/CoolSculpting/HRT/peptide therapy/weight loss/hair loss,3-5,A,"injectables,laser,hormones,weight-loss,anti-aging",W103-LaneB,"Independent owner-led; full-spectrum; direct email confirmed on site"
LANEB-MS-W103-002,Instinct Holistic Medical Spa,Bozeman,MT,USA,,,(406) 607-0000,https://instinctbozeman.com,,Laura Selby & Dr. Sarah Donahue,injectables/skin/laser/weight loss/wellness,3-5,B,"injectables,wellness,anti-aging,weight-loss",W103-LaneB,"Co-owned NP+MD; no direct email found on homepage; phone-only"
LANEB-MS-W103-003,Gem Aesthetics & Wellness,Missoula,MT,USA,,(406) 640-3802,https://gemmissoula.com,@gemmissoula,Kacia Bundle NP-C,injectables/BBL/Moxi/IV therapy/weight loss/hormones/longevity coaching,2-4,A,"injectables,laser,IV-therapy,hormones,longevity,weight-loss",W103-LaneB,"Owner-operated NP; phone confirmed; active IG 3k+ posts; IV+hormone+longevity combo"
LANEB-MS-W103-004,Bespoke Aesthetics & Wellness,Missoula,MT,USA,info@bespokebeautymt.com,(406) 493-0291,https://bespokebeautymt.com,@bespokeaestheticsandwellnessmt,Sarah Berg DNP FNP-C,injectables/PRF/laser/facials/BHRT/IV therapy/DMK,3-6,A,"injectables,wellness,IV-therapy,hormones,regenerative,facial-aesthetics",W103-LaneB,"Direct email + phone confirmed; DNP-led; BHRT+IV+regenerative combo; strong ICP fit"
LANEB-MS-W103-005,Avery's Health & Wellness,Bismarck,ND,USA,averysmedspa@hotmail.com,(701) 426-6765,https://www.averysmedspa.org,@averysmedspa,Avery Henke FNP,injectables/IV therapy/triLift/medical weight loss/skin care,1-3,A,"injectables,IV-therapy,wellness,weight-loss,anti-aging",W103-LaneB,"Solo FNP owner; direct email + phone confirmed; very small shop = high responsiveness"
LANEB-MS-W103-006,Bare Medispa,Bismarck,ND,USA,,(701) 751-6363,https://baremedispa.com,@baremedispa,,injectables/fillers/PDO threads/RF microneedling/body contouring/IV therapy/laser/hair restoration/men's services,4-8,B,"injectables,body-contouring,IV-therapy,laser,hair-restoration,men-focused",W103-LaneB,"No email on site; phone confirmed; broad service menu incl men-focused and hair restoration"
LANEB-MS-W103-007,Mangata Medical Spa,Grand Forks,ND,USA,info@mangatamedicalspa.com,(701) 757-1024,https://www.mangatamedicalspa.com,@mangatamedicalspa,Atlanta Hondl RN,injectables/Morpheus8/IPL/laser hair removal/HydraFacial/microneedling,2-4,A,"injectables,laser,facial-aesthetics,skin",W103-LaneB,"Owner-operated RN; direct email confirmed; strong injector with laser certifications"
LANEB-MS-W103-008,Rayne Aesthetics Co,Grand Forks,ND,USA,info@rayneaestheticsco.com,(701) 935-0859,https://www.rayneaestheticsco.com,@rayne_aesthetics_co,Jenna Belker RN BSN,injectables/fillers/lip filler/skincare consults,1-2,A,"injectables,facial-aesthetics,skin",W103-LaneB,"Solo-injector owner; direct email confirmed; boutique studio with strong reviews"
LANEB-MS-W103-009,Onyx MedSpa,Twin Falls,ID,USA,,(208) 736-2763,https://www.onyxmedspa.com,@onyxmedspa,,injectables/fillers/laser/body contouring/facials/skin tightening,3-6,A,"injectables,laser,body-contouring,facial-aesthetics,skin",W103-LaneB,"Phone confirmed on site; Twin Falls independent; broad service menu"
LANEB-MS-W103-010,The Renewal Method,Athens,GA,USA,athens@therenewalmethod.com,,https://www.therenewalmethod.com,@therenewalmethod,,injectables/fillers/PDO threads/RF microneedling/body contouring/weight loss,3-5,A,"injectables,body-contouring,weight-loss,anti-aging,skin",W103-LaneB,"Direct location email confirmed; Athens GA independent medspa"
