lead_id,name,city,neighborhood,reviews,rating,key_hook,subject_line,confidence,notes
T11,Radiance Medspa & Beauty Bar,Toronto,Scarborough,372,4.8,"noticed you've built 372 reviews at 4.8 on Kennedy Rd — that's strong for a Scarborough independent and means the retention is already working, just unscripted",quick question about your no-show rate,medium,women-owned multi-service
T14,Bare Beauty Clinic,Toronto,Etobicoke,359,4.9,"noticed you've hit 359 reviews at 4.9 on Lake Shore Blvd — exceptional for an independent on the Etobicoke strip, exactly the size where automated review-asks compound fastest",quick question about Lake Shore retention,high,independent solo on Lake Shore
T15,Victoria Clinique,Toronto,Etobicoke,427,4.9,"noticed you've built 427 reviews at 4.9 on The Queensway — that's already top-decile for an Etobicoke indie, which means the retention work is done but the auto review-ask is probably the easiest 30% lift left",noticed something about The Queensway,high,well-established Queensway
T17,Let Them Notice,Toronto,Etobicoke,100,5.0,"noticed your perfect 5-star rating and the 'Let Them Notice' name — clearly a brand-conscious operator on N Queen St in Etobicoke, exactly where the auto review-ask is most underused",quick question for a brand-conscious clinic,medium,brand-led naming
T19,The Beauty Standard,Toronto,Etobicoke,254,5.0,"254 reviews at 5 stars on The Queensway — that's elite for an indie clinic, which usually means whoever runs the front desk is also the owner",quick question about The Queensway,high,perfect rating premium positioning
T21,Plumpitupp Inc.,Toronto,Etobicoke,198,5.0,"noticed your unmistakably distinctive name and 198 reviews at 5 stars on Dundas — independent operator with personality, exactly the kind of clinic where the owner IS the brand",quick question about Plumpitupp,medium,distinctive name
T24,Clinique De Mode Downtown,Toronto,Old Toronto,581,4.9,"581 reviews at 4.9 on Yonge St — that's elite tier for downtown Toronto and means the front desk is probably stretched thin between in-clinic ops and follow-up",quick question about Yonge St volume,high,downtown high-volume
T26,Skin & Bodyfresh Med Clinic,Toronto,Old Toronto,182,4.8,"noticed you do skin + body + day spa across 182 reviews on Bloor — multi-service operations are where 24hr reminders move the no-show needle most",quick question about multi-service ops,medium,multi-service mix
T28,Starlight Med Spa,Toronto,Old Toronto,479,4.9,"479 reviews at 4.9 on Queen St W — that's already top-tier for Trinity-Bellwoods area independents, retention is humming but the auto review-ask layer is probably untapped",quick question about Queen West,high,Queen West premium
T30,The ART Clinic,Toronto,Old Toronto,133,5.0,"noticed the 'Aesthetic Room' positioning across 133 reviews at 5 stars on Bloor W — boutique solo-founder energy, exactly where the front desk is the owner",noticed something about The ART Clinic,medium,boutique positioning
M01,Caruna Med Spa & Laser Center,Miami,Brickell,154,4.8,"noticed you've built 154 reviews at 4.8 on SW 1st Ave in Brickell — that's solid for a women-owned indie in a competitive zip code, exactly where a tighter retention loop pulls ahead of the bigger names",quick question about Brickell retention,high,women-owned Brickell
M03,No Filter Medical Spa,Miami,Downtown Miami,196,4.9,"noticed your 196 reviews at 4.9 in Downtown Miami and the LGBTQ+-owned positioning — community-led indie where every lapsed client matters more than at the bigger Brickell shops",quick question about Downtown Miami,high,LGBTQ+-owned community indie
M07,Brickell Cosmetic Center,Miami,Coral Way,425,4.6,"425 reviews on SW 3rd Ave — that's volume, but the 4.6 rating (vs the 4.9s nearby) usually means a couple of bad no-show recovery moments dragged the average. The 24hr-reminder layer typically fixes that",quick question about your reviews,high,425 reviews lower rating
M08,Miami Skin Spa Aesthetics,Miami,Brickell,150,4.8,"150 reviews at 4.8 on S Miami Ave — that's good Brickell signal, and the women-owned positioning means a small operator who feels every no-show personally",quick question about Brickell,medium,women-owned Brickell
M09,Face and Body Concept,Miami,Downtown Miami,94,4.9,"noticed your 94 reviews at 4.9 in Downtown Miami — that's the sweet-spot size where the auto review-ask flow turns 94 into 200 inside a year",quick question about Downtown Miami growth,medium,sweet-spot size
M11,World of Beauty Miami,Miami,Coral Way,110,4.8,"110 reviews at 4.8 on SW 3rd Ave — solid Coral Way signal, women-owned and clearly multi-service across body shaping and laser",quick question about your retention,medium,multi-service women-owned
M19,VIIV WELLNESS HAUS,Miami,Bayshore,280,5.0,"280 reviews at 5 stars on West Ave — that's exceptional for a Miami Beach indie, Latino-owned wellness positioning where the retention layer is the highest-leverage thing left to add",quick question about West Ave,high,Latino-owned 5-star
M23,Chadia Ali MedSpa,Miami,Flamingo / Lummus,108,5.0,"noticed the founder's name in the brand and 108 reviews at 5 stars on 5th St — that's the solo-founder / brand-is-the-owner pattern, exactly where the front desk is also the boss",noticed something about Chadia Ali,high,founder-name brand
M25,Facial Mania Med Spa,Miami,Coral Gables,347,4.7,"347 reviews on Laguna St in Coral Gables — that's elite volume for a women-owned indie in a zip code dominated by chains, which means you're probably losing more no-shows than your team can chase",quick question about Coral Gables,high,women-owned Coral Gables
M27,Med Aesthetics Miami,Miami,Coral Gables,433,4.8,"433 reviews on Ponce de Leon — top-tier for Coral Gables and means retention is humming, but the auto review-ask is usually the easiest lift on a clinic at this scale",quick question about Ponce,high,Coral Gables high-volume
V01,Renue Med Spa,Vancouver,West Side,268,5.0,"268 reviews at 5 stars on West Broadway — that's best-in-class for a West Side indie and means the retention is doing its job, just not yet automated",quick question about West Broadway,high,West Side 5-star indie
V02,First Ave Medical Spa,Vancouver,West Side,110,4.9,"110 reviews at 4.9 on W 1st Ave — women-owned indie in Kits-adjacent territory, the size where the front desk is a team of one or two",quick question about Kits retention,medium,women-owned solo size
V03,Ovo Medi Spa,Vancouver,West Side,124,4.9,"124 reviews at 4.9 on W 10th Ave — Point Grey indie with the kind of consistent rating that signals the owner runs tight ops",quick question about Point Grey,medium,consistent ops signal
V05,Vancouver Medi Spa,Vancouver,Downtown Vancouver,242,4.6,"242 reviews on Hornby St — strong downtown indie volume, and the 4.6 (vs 4.9 across most West Side competitors) usually traces to no-show recovery that isn't tight enough",quick question about your reviews,high,downtown 4.6 signal
V07,Silver Springs Medical Spa,Vancouver,Central Vancouver,125,4.7,"125 reviews on Robson St — solid Robson signal in a corridor where most aesthetics are chains, which means the indie clinics are the ones feeling the no-show pain hardest",quick question about Robson,medium,Robson indie
V12,Reign Medispa,Vancouver,Richmond,113,4.9,"113 reviews at 4.9 on Number 3 Rd in Richmond — women-owned multi-service indie in a corridor saturated with med spas, where retention is what separates the pack",quick question about Number 3 Rd,medium,women-owned Number 3 Rd
V15,La Cachette Spa,Vancouver,Richmond,185,4.9,"185 reviews at 4.9 on Number 3 Rd — women-owned and clearly an established Richmond indie, the size where the auto review-ask compounds materially in 90 days",quick question about Richmond retention,high,women-owned Richmond
V20,SKIN STUDIO MD+ by SENNIYO,Vancouver,Richmond,247,4.9,"247 reviews at 4.9 on Alexandra Rd — Cantonese-speaking indie with that level of volume usually means a multi-treatment Richmond mainstay where retention is humming but not yet automated",quick question about Alexandra Rd,high,multilingual Richmond mainstay
V21,Richmond Anti-Aging Clinic,Vancouver,Richmond,372,4.9,"372 reviews at 4.9 on Number 3 Rd — that's elite-tier for Richmond indie aesthetics and means whoever runs the front desk is fielding more reactivation work than they have hours for",quick question about Richmond volume,high,Richmond top-tier
V23,Fresh Canvas Spa & Laser Centre,Vancouver,Burnaby,254,4.9,"254 reviews at 4.9 on Kingsway in Burnaby — women-owned Metrotown indie with the kind of consistent rating that says the owner is hands-on with every client",quick question about Metrotown,high,women-owned Metrotown
L01,Glow Aesthetic Center Med Spa,Los Angeles,Encino,1378,5.0,"1,378 reviews at 5 stars on Ventura Blvd in Encino — that's already top 1% in Valley aesthetics, which means the retention layer is doing its job but the auto review-ask is probably the easiest 30% lift you haven't tapped",quick question about Ventura Blvd,high,top 1% Valley
L02,Marbella MedSpa,Los Angeles,Encino,314,4.8,"314 reviews at 4.8 on Ventura Blvd — strong Encino indie signal in a zip code that's mostly franchises, which means the no-show pain falls disproportionately on the indies",quick question about Encino,high,Encino indie vs franchises
L03,Refresh Med Spa L.A.,Los Angeles,Woodland Hills,182,4.9,"182 reviews at 4.9 on Ventura Blvd in Woodland Hills — women-owned indie at the size where the front desk is one or two people stretched between in-clinic ops and follow-up chases",quick question about Woodland Hills retention,high,women-owned Woodland Hills
L08,Lovely Med Spa,Los Angeles,Woodland Hills,71,4.9,"71 reviews at 4.9 on Topanga Canyon Blvd — women-owned solo-founder size, exactly where the auto review-ask flow turns 71 into 200 inside a year",quick question about Topanga Canyon,medium,solo-founder size
L09,Sylmar Med Spa,Los Angeles,Sylmar,320,4.9,"320 reviews at 4.9 on Foothill Blvd — that's elite volume for a Sylmar indie and means the retention work is humming but probably manual",quick question about Foothill,high,established Sylmar indie
L11,Belle Rose LA MedSpa,Los Angeles,Northridge,89,4.9,"89 reviews at 4.9 inside the Phenix Salon Suites in Northridge — solo-suite operator model where the owner literally is the front desk, every no-show shows up",quick question about Phenix Suites,high,solo-suite operator
L13,Santosha Aesthetics,Los Angeles,Beverly Hills,85,5.0,"85 reviews at 5 stars on Wilshire Blvd in Beverly Hills — boutique solo-founder energy in a zip code where every appointment slot is gold",quick question about Wilshire,medium,Beverly Hills boutique
L18,VS Med Spas,Los Angeles,Beverly Hills,89,4.9,"89 reviews at 4.9 on N Roxbury Dr in Beverly Hills — boutique premium-positioned indie where the difference between 89 and 200 reviews is just whether someone is asking",quick question about Roxbury,medium,Beverly Hills boutique premium
L20,Cienega Medical Santa Monica,Los Angeles,Santa Monica Downtown,571,4.8,"571 reviews at 4.8 on Broadway in Santa Monica — that's elite-tier for a women-owned indie in a corridor dominated by chains, which means your retention is one of the few real moats you have",quick question about Santa Monica volume,high,women-owned Santa Monica top-tier
L24,Kalologie Santa Monica,Los Angeles,Santa Monica,41,4.8,"41 reviews on San Vicente in Santa Monica — newer brand at the size where the front desk is the owner, the moment when getting the retention engine right pays off the hardest",quick question about San Vicente,medium,newer Santa Monica
